"","site_id","date","filename","species","begin_clock_time_hms","nauticalDawn","sunrise","peak_freq","vert_strat","relative_onset_times","scientific_name","common_name","ebird_residuals","foraging_habit","territoriality","mass","trophic_niche","season"
"1","INBS04U",2020-05-07,"20200507_053000.WAV","MWTH",05:30:00,05:16:01,2020-05-07 06:03:54,1781.25,4,13.9833333333333,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"2","INME03R",2020-05-08,"20200508_053000.WAV","MWTH",05:30:00,05:15:39,2020-05-08 06:03:38,1312.5,7,14.35,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"3","INME03U",2020-05-02,"20200502_053000.WAV","MWTH",05:30:00,05:17:57,2020-05-02 06:05:26,1406.25,6,12.05,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"4","OLCAP2B",2020-05-03,"20200503_053000.WAV","WBBF",05:30:00,05:17:16,2020-05-03 06:04:51,1687.5,7,12.7333333333333,"Cyornis pallidipes","White-bellied Blue Flycatcher",0.127786668799846,"UND","Weakly territorial",19,"Invertivore","summer"
"5","OLCAP2B",2020-05-10,"20200510_053000.WAV","MWTH",05:30:00,05:14:45,2020-05-10 06:02:54,1218.75,7,15.25,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"6","OLCAP3B",2020-05-10,"20200510_053000.WAV","MWTH",05:30:00,05:14:45,2020-05-10 06:02:53,1218.75,7,15.25,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"7","OLV208R",2020-03-27,"20200327_053000.WAV","CHCU",05:30:00,05:37:56,2020-03-27 06:23:27,2062.5,7,-7.93333333333333,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
"8","OLV208U",2020-05-08,"20200508_053000.WAV","MWTH",05:30:00,05:15:35,2020-05-08 06:03:33,1593.75,5,14.4166666666667,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"9","SEL107U",2020-03-07,"20200307_053000.WAV","MWTH",05:30:00,05:49:35,2020-03-07 06:35:07,1500,5,-19.5833333333333,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"10","STIN02R",2020-05-02,"20200502_053000.WAV","MWTH",05:30:00,05:17:54,2020-05-02 06:05:24,1781.25,5,12.1,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"11","THEN10U",2020-05-05,"20200505_053000.WAV","CHCU",05:30:00,05:16:39,2020-05-05 06:04:23,2156.25,5,13.35,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
"12","VAR310U",2020-03-19,"20200319_053000.WAV","CHCU",05:30:00,05:42:55,2020-03-19 06:28:20,1687.5,3,-12.9166666666667,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
"13","OLV110R",2020-05-07,"20200507_053000.WAV","CHCU",05:30:01,05:15:57,2020-05-07 06:03:51,1781.25,8,14.0666666666667,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
"14","OLV110U",2020-05-05,"20200505_053000.WAV","CHCU",05:30:01,05:16:40,2020-05-05 06:04:24,2062.5,4,13.35,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
