"","ebird_residuals","scientific_name","common_name"
"1",-0.0317832809545381,"Aegithina tiphia","Common Iora"
"2",0.232494158240942,"Arachnothera longirostra","Little Spiderhunter"
"3",-0.217064674482594,"Carpodacus erythrinus","Common Rosefinch"
"4",0.202040385452947,"Centropus sinensis","Greater Coucal"
"5",0.0192179409296164,"Chalcophaps indica","Asian Emerald Dove"
"6",-0.0317823800265063,"Chloropsis aurifrons","Golden-fronted Leafbird"
"7",0.268872279169054,"Copsychus saularis","Oriental Magpie-Robin"
"8",0.163908028105057,"Corvus macrorhynchos","Large-billed Crow"
"9",0.0462787441687998,"Corvus splendens","House Crow"
"10",0.138023294219758,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher"
"11",0.144605228311284,"Cyornis rubeculoides","Blue-throated Flycatcher"
"12",0.0383511448326831,"Dendronanthus indicus","Forest Wagtail"
"13",-0.206762406124997,"Dicaeum concolor","Nilgiri Flowerpecker"
"14",0.200001817857729,"Dicrurus aeneus","Bronzed Drongo"
"15",0.188423297727862,"Dicrurus leucophaeus","Ashy Drongo"
"16",0.126821091981418,"Dicrurus paradiseus","Greater Racket-tailed Drongo"
"17",-0.0852089664938569,"Dinopium benghalense","Black-rumped Flameback"
"18",0.0655933263664136,"Dryocopus javensis","White-bellied Woodpecker"
"19",-0.0250145636781524,"Ducula badia","Mountain Imperial-Pigeon"
"20",0.111106111823584,"Eudynamys scolopaceus","Asian Koel"
"21",0.239564268249285,"Halcyon smyrnensis","White-throated Kingfisher"
"22",-0.182220139518375,"Hemicircus canente","Heart-spotted Woodpecker"
"23",0.0642821407165748,"Hemipus picatus","Bar-winged Flycatcher-shrike"
"24",0.0998052336804932,"Hypothymis azurea","Black-naped Monarch"
"25",0.0829870439781862,"Irena puella","Asian Fairy-bluebird"
"26",0.226693941035782,"Lanius cristatus","Brown Shrike"
"27",0.193443087184386,"Merops leschenaulti","Chestnut-headed Bee-eater"
"28",-0.0691286683534257,"Motacilla cinerea","Gray Wagtail"
"29",0.269123318766445,"Muscicapa dauurica","Asian Brown Flycatcher"
